gene,control_rep3,exp_rep3,control_rep1,exp_rep2,control_rep2,exp_rep1
ENSG00000224340.1,0,0,0,0,0,0
ENSG00000233623.2,0,0,0,0,1,0
ENSG00000201746.1,1,0,0,0,0,0
ENSG00000054523.20,14304,10178,12346,12090,10394,12391
ENSG00000264881.1,1,0,0,0,0,1
ENSG00000199562.1,0,3,0,0,1,2
ENSG00000264501.2,0,0,0,0,0,0
ENSG00000284735.1,24,23,24,12,19,18
ENSG00000284642.1,46,29,32,36,23,21
ENSG00000142657.21,40807,36785,32912,30846,29442,33151
ENSG00000271989.1,0,1,0,0,0,1
ENSG00000251503.8,28,22,11,22,22,22
ENSG00000175279.22,184,146,144,115,144,206
ENSG00000241563.4,8,11,3,8,3,3
ENSG00000160049.12,10689,8220,9173,9115,7665,8747
ENSG00000203469.2,0,0,0,0,0,0
ENSG00000142655.13,2357,2389,1975,2013,1667,1988
ENSG00000287727.1,2,3,9,4,4,4
ENSG00000243267.3,3,0,0,0,0,0
ENSG00000130940.15,1834,1332,1538,1597,1335,1614
ENSG00000272078.1,55,45,26,26,33,48
ENSG00000225158.2,0,0,0,0,0,0
ENSG00000175262.15,136,72,91,42,82,42
ENSG00000215785.2,0,2,0,0,0,3
ENSG00000120948.19,26064,21178,21760,22176,18685,22621
ENSG00000009724.18,125,75,78,106,74,92
ENSG00000116649.10,10550,11118,7910,7269,7352,7834
ENSG00000171824.14,7578,6258,6120,6632,5323,6175
ENSG00000226849.1,0,1,1,0,1,6
ENSG00000230337.3,8,8,10,11,9,7
ENSG00000198793.14,10633,8068,8959,9546,7652,8871
ENSG00000225602.5,0,0,0,0,2,1
ENSG00000253086.1,0,0,0,0,0,0
ENSG00000171819.5,11,7,10,13,4,5
ENSG00000207451.1,0,0,0,0,0,0
ENSG00000238173.1,4,9,2,11,1,2
ENSG00000120942.14,2779,2357,2220,2359,1956,2398
ENSG00000238199.1,1,1,5,1,2,3
ENSG00000284646.1,0,1,0,0,0,0
ENSG00000224338.2,0,0,0,0,0,0
ENSG00000204624.8,226,204,219,108,181,129
ENSG00000285833.1,0,0,0,0,0,0
ENSG00000235643.2,1,5,0,2,1,0
ENSG00000284708.1,4,4,2,5,3,2
ENSG00000116661.11,1867,2010,1392,1698,1257,1599
ENSG00000132879.14,1679,1734,1227,1478,1234,1407
ENSG00000116670.16,5447,5623,4145,4467,4103,4133
ENSG00000116663.11,210,177,128,159,138,177
ENSG00000162490.7,936,971,851,853,756,871
ENSG00000177674.16,3337,3349,2575,2691,2521,2626
ENSG00000215910.8,2,4,2,0,2,1
ENSG00000177553.6,0,0,0,0,0,0
ENSG00000177000.13,1654,1200,1353,1450,1242,1370
ENSG00000011021.23,1338,1062,1184,1370,917,1127
ENSG00000276470.1,0,0,0,0,0,0
ENSG00000278852.1,0,0,0,0,0,0
ENSG00000175206.11,8,8,12,8,4,7
ENSG00000275915.1,0,0,0,0,0,0
ENSG00000120937.9,3808,4411,3214,4696,2463,4238
ENSG00000224904.1,1,1,2,1,2,1
ENSG00000285646.2,73,65,53,42,31,63
ENSG00000199347.1,0,0,0,0,0,0
ENSG00000201801.1,0,0,0,0,0,0
ENSG00000116685.17,6424,6162,5087,5680,4686,5234
ENSG00000083444.17,18130,16421,14298,15872,12796,16205
ENSG00000287384.1,0,0,0,0,2,0
ENSG00000116688.18,11923,10633,10117,10857,8782,10854
ENSG00000270914.1,0,0,0,0,0,0
ENSG00000116691.11,2296,2077,1714,1663,1645,1675
ENSG00000202461.1,3,1,4,1,3,2
ENSG00000276869.1,0,0,0,0,0,0
ENSG00000243539.3,0,0,0,0,0,0
ENSG00000120949.15,23,19,20,22,21,15
ENSG00000201135.1,0,0,0,0,0,0
ENSG00000227875.2,0,0,0,0,0,0
ENSG00000285604.1,0,0,0,0,0,0
ENSG00000283789.1,0,0,0,0,0,0
ENSG00000028137.19,27,33,22,29,17,33
ENSG00000263676.1,0,0,0,0,0,0
ENSG00000225196.2,0,0,0,0,0,0
ENSG00000252969.1,0,0,0,0,0,0
ENSG00000048707.15,4346,3034,3759,4212,3140,4197
ENSG00000239149.1,2,1,3,3,0,1
ENSG00000229484.3,0,0,0,0,0,0
ENSG00000162496.9,3489,3273,2716,3029,2519,3234
ENSG00000221340.1,2,1,1,1,1,1
ENSG00000276830.1,1,0,0,1,0,0
ENSG00000288927.2,44,45,53,33,43,52
ENSG00000272482.2,14,5,10,4,9,7
ENSG00000204518.3,0,0,1,0,3,0
ENSG00000226166.2,0,0,0,0,0,0
ENSG00000188984.12,0,0,0,4,0,6
ENSG00000157330.10,56,31,43,27,33,32
ENSG00000116726.5,6,6,5,11,8,5
ENSG00000116721.9,1,1,2,1,1,2
ENSG00000228338.1,0,0,0,0,0,0
ENSG00000239810.3,1,0,0,0,0,0
ENSG00000231103.2,0,0,0,0,0,0
ENSG00000179172.10,15,21,8,13,10,10
ENSG00000120952.4,0,1,0,0,0,3
ENSG00000243073.4,0,0,0,0,0,0
ENSG00000187545.5,0,0,0,0,0,0
ENSG00000204510.6,0,0,0,0,0,0
ENSG00000207434.1,0,0,0,0,0,0
ENSG00000234064.1,0,0,0,0,0,0
ENSG00000232423.6,0,0,0,0,0,0
ENSG00000274178.2,0,0,0,0,1,1
ENSG00000274764.6,0,0,0,0,0,0
ENSG00000277058.3,1,1,3,1,0,1
ENSG00000229571.7,0,0,0,0,0,0
ENSG00000277862.1,0,0,0,0,0,0
ENSG00000236179.1,0,0,0,0,0,0
ENSG00000275774.3,2,0,1,0,1,0
ENSG00000229978.2,0,0,0,0,0,0
ENSG00000290772.1,0,0,0,0,0,0
ENSG00000233336.1,0,0,0,0,0,0
ENSG00000280267.7,0,0,0,0,0,0
ENSG00000179412.11,4,8,4,7,8,6
ENSG00000204505.5,0,0,0,0,0,0
ENSG00000279169.3,0,0,1,0,0,0
ENSG00000279804.3,0,0,0,0,0,0
ENSG00000250894.1,0,0,0,0,0,0
ENSG00000270601.5,0,0,1,0,0,0
ENSG00000231219.1,0,0,0,0,0,0
ENSG00000207511.1,0,0,0,0,0,0
ENSG00000182330.11,0,0,2,0,0,0
ENSG00000237700.2,0,0,0,0,0,0
ENSG00000204501.7,0,0,0,0,0,0
ENSG00000228229.2,0,0,0,0,0,0
ENSG00000204481.8,2,0,3,3,0,1
ENSG00000204480.9,0,0,0,0,0,0
ENSG00000204479.4,0,0,0,0,0,0
ENSG00000204478.11,0,0,0,0,0,3
ENSG00000162494.6,133,96,126,69,88,74
ENSG00000259961.1,1,0,0,1,0,0
ENSG00000215909.3,0,0,1,0,0,0
ENSG00000162493.17,1633,1424,1390,757,1192,615
ENSG00000222952.1,0,0,0,0,0,0
ENSG00000237445.2,0,0,0,0,0,0
ENSG00000253085.1,0,0,0,0,0,0
ENSG00000116731.23,4963,3971,4244,4852,3601,4685
ENSG00000289380.1,0,0,1,1,0,1
ENSG00000189337.17,1205,1009,922,937,738,840
ENSG00000252151.1,0,0,0,0,0,0
ENSG00000231606.2,0,0,0,1,0,0
ENSG00000234593.3,0,0,0,0,0,0
ENSG00000235829.1,0,0,0,0,0,0
ENSG00000287756.1,0,0,0,0,0,0
ENSG00000175147.13,86,48,68,91,48,63
ENSG00000171729.14,1568,1363,1301,1609,1056,1486
ENSG00000204464.7,1,0,0,0,2,0
ENSG00000215720.4,1,0,0,0,0,1
ENSG00000278480.1,1,2,4,4,2,1
ENSG00000142621.21,287,274,255,260,234,239
ENSG00000233485.1,0,0,0,1,0,0
ENSG00000236045.1,7,7,6,7,3,4
ENSG00000228140.2,10,9,11,13,4,4
ENSG00000142634.13,2139,2004,1600,1598,1524,1571
ENSG00000162438.12,0,0,0,0,0,0
ENSG00000142615.8,1,1,2,1,0,3
ENSG00000215704.10,5,15,3,7,4,11
ENSG00000132906.18,1407,1222,1110,1216,983,1123
ENSG00000116138.13,3322,2637,2873,3260,2186,3133
ENSG00000251866.1,0,0,1,0,0,0
ENSG00000272510.1,0,1,3,0,0,1
ENSG00000116771.6,1010,813,756,751,710,830
ENSG00000237301.1,9,5,6,8,2,5
ENSG00000235084.3,9,20,11,11,11,10
ENSG00000252417.1,0,0,0,0,0,0
ENSG00000236500.1,0,0,0,0,0,0
ENSG00000197312.13,6623,4694,5857,6689,4638,6243
ENSG00000215695.2,0,1,0,0,0,1
ENSG00000271742.1,1,1,0,0,0,0
ENSG00000116786.13,6563,5797,5118,5097,4721,4835
ENSG00000237938.5,9,1,6,3,2,11
ENSG00000162461.8,24,18,18,20,5,10
ENSG00000224459.2,0,0,0,0,0,0
ENSG00000162460.7,85,83,60,74,51,63
ENSG00000162458.13,12388,11611,9885,11879,8750,11407
ENSG00000224321.1,39,41,16,33,22,24
ENSG00000233954.7,1065,1226,914,1168,798,980
ENSG00000178715.8,58,83,49,75,49,49
ENSG00000179743.4,223,198,217,191,199,195
ENSG00000065526.13,10549,7958,9181,9807,7941,9815
ENSG00000270620.1,0,0,1,0,0,0
ENSG00000116809.12,2649,2325,1915,2042,1789,1977
ENSG00000234607.2,0,0,0,0,0,0
ENSG00000231353.1,0,0,0,0,0,0
ENSG00000275503.1,0,0,0,0,0,0
ENSG00000224966.4,0,0,0,0,0,0
ENSG00000183888.4,2,1,1,2,0,2
ENSG00000233078.1,0,0,0,0,0,0
ENSG00000173641.18,37,61,54,99,15,67
ENSG00000186510.12,21,20,7,10,19,15
ENSG00000232456.1,13,10,9,5,7,4
ENSG00000184908.20,81,60,49,52,52,41
ENSG00000185519.9,99,129,98,62,66,55
ENSG00000142627.13,13499,15796,10758,16673,9582,15750
ENSG00000227959.2,14,23,19,27,18,16
ENSG00000224621.1,16,5,7,12,12,24
ENSG00000234166.1,0,0,0,0,0,0
ENSG00000142632.17,2514,2110,1983,1730,1882,1579
ENSG00000291077.1,12,8,10,6,9,7
ENSG00000237276.10,5,4,2,5,4,2
ENSG00000288398.1,544,507,431,438,403,438
